"PlayerName","CourseName","LayoutName","Date","Total","Net_Score","Hole1","Hole2","Hole3","Hole4","Hole5","Hole6","Hole7","Hole8","Hole9","Hole10","Hole11","Hole12","Hole13","Hole14","Hole15","Hole16","Hole17","Hole18","Hole19","Hole20"
"Cvance","Bayview","Bayview - Right Deadly","2021-07-07 10:24:00",56,-1,3,3,3,3,3,4,2,4,3,3,4,3,3,3,2,4,2,4,0,0
"Pink Leopard","Bayview","Bayview - Right Deadly","2021-07-07 10:24:00",63,6,4,3,3,3,4,4,3,4,4,3,5,4,2,3,3,4,3,4,0,0
"Cvance","E.T. Seton Park Disc Golf Course","Summer 2021","2021-06-27 17:54:00",59,5,3,4,4,3,4,3,3,3,3,4,3,4,3,3,4,2,3,3,0,0
"Cvance","Toronto Island Disc Golf Course","Short Tees To Long Baskets","2021-05-31 12:14:00",68,10,3,5,5,3,3,5,3,5,3,3,3,4,4,5,3,4,4,3,0,0
"Spence","Toronto Island Disc Golf Course","Short Tees To Long Baskets","2021-05-31 12:14:00",65,7,4,3,3,3,3,4,3,5,3,3,3,4,4,6,3,5,2,4,0,0
"Cvance","Marilyn Bell Park Disc Golf Course","Main","2021-05-27 18:50:00",27,0,3,4,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Pink Leopard","Marilyn Bell Park Disc Golf Course","Main","2021-05-27 18:50:00",27,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Spence","Marilyn Bell Park Disc Golf Course","Main","2021-05-27 18:50:00",23,-4,2,2,3,3,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"Cvance","White Spruce Park","Red Tees (Short)","2021-05-25 16:46:00",61,1,3,4,3,3,2,3,3,4,3,2,3,2,4,3,4,3,4,3,2,3
"Pink Leopard","White Spruce Park","Red Tees (Short)","2021-05-25 16:46:00",66,6,4,2,4,3,3,4,3,3,3,4,3,2,5,4,3,3,3,3,3,4
"Cvance","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-05-22 10:22:00",45,5,3,4,3,4,4,3,3,4,4,0,0,0,2,0,0,4,3,4,0,0
"Pink Leopard","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-05-22 10:22:00",37,10,4,4,4,4,0,0,0,0,5,0,0,0,3,0,0,4,4,5,0,0
"Cvance","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-16 15:30:00",62,7,3,5,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,3,0,0
"Cvance","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-16 15:30:00",62,7,3,5,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,3,0,0
"Cvance","Beaches Disc Golf Course","18 Holes: Classic","2021-04-10 13:34:00",51,-3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,0,0
"Pink Leopard","Beaches Disc Golf Course","18 Holes: Classic","2021-04-10 13:34:00",52,-2,2,2,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,0,0
"Cvance","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-04-08 17:13:00",57,3,4,3,3,4,3,4,3,3,3,3,3,2,3,3,3,3,3,4,0,0
"Pink Leopard","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-04-08 17:13:00",65,11,3,5,4,3,4,4,3,3,4,4,3,3,4,4,3,4,4,3,0,0
"Spence","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-04-08 17:13:00",59,5,3,5,3,3,3,4,4,2,3,4,3,3,3,3,3,4,3,3,0,0
"Cvance","White Spruce Park","Red Tees (Short)","2021-04-07 16:10:00",62,2,3,2,2,3,4,3,4,4,3,3,4,3,5,3,3,2,3,2,3,3
"Pink Leopard","White Spruce Park","Red Tees (Short)","2021-04-07 16:10:00",67,7,3,3,4,3,3,3,4,4,3,3,4,3,4,3,4,3,3,3,3,4
"Cvance","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-04 15:12:00",61,6,3,4,3,4,4,4,4,4,3,3,4,3,3,3,4,3,2,3,0,0
"Spence","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-04 15:12:00",59,4,3,3,3,3,3,4,3,3,3,4,4,3,3,4,4,3,3,3,0,0
"Pink Leopard","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-04 15:12:00",68,13,4,3,4,6,3,5,4,4,4,4,4,3,3,4,3,3,3,4,0,0
"Dumb","Centennial Park DGC","Red (Short) Tees - Summer 2021","2021-04-04 15:12:00",69,14,4,3,4,5,4,5,3,4,4,4,4,3,3,4,4,3,4,4,0,0
"Cvance","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 18:08:00",25,-2,2,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0
"Spence","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 18:08:00",26,-1,3,3,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Pink Leopard","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 18:08:00",27,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Cvance","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 17:33:00",26,-1,3,3,3,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Pink Leopard","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 17:33:00",25,-2,3,3,3,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"Spence","Marilyn Bell Park Disc Golf Course","Main","2021-03-30 17:33:00",22,-5,2,3,2,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0
